location_id,location_name,ubigeo_dept_str,level,is_synthetic,notes
1,Amazonas,01,department,FALSE,
2,Ancash,02,department,FALSE,
3,Apurimac,03,department,FALSE,
4,Arequipa,04,department,FALSE,
5,Ayacucho,05,department,FALSE,
6,Cajamarca,06,department,FALSE,
7,Callao,07,department,FALSE,
8,Cusco,08,department,FALSE,
9,Huancavelica,09,department,FALSE,
10,Huanuco,10,department,FALSE,
11,Ica,11,department,FALSE,
12,Junin,12,department,FALSE,
13,La Libertad,13,department,FALSE,
14,Lambayeque,14,department,FALSE,
15,Lima,15,department,FALSE,
16,Loreto,16,department,FALSE,
17,Madre de Dios,17,department,FALSE,
18,Moquegua,18,department,FALSE,
19,Pasco,19,department,FALSE,
20,Piura,20,department,FALSE,
21,Puno,21,department,FALSE,
22,San Martin,22,department,FALSE,
23,Tacna,23,department,FALSE,
24,Tumbes,24,department,FALSE,
25,Ucayali,25,department,FALSE,
9000,Peru (aditivo),9000,national_additive,TRUE,Suma exacta de deptos 01-25; recomendado downstream
