dataset_id,version,run_id,table_name,column_name,label,description,data_type,units,allow_na,is_key,n_missing,pct_missing,observed_min,observed_max,example_values
inei_population_1995_2030,v1.0.0,20260416_020030,catalogo_artefactos,dataset_id,dataset_id,dataset_id,character,,FALSE,FALSE,0,0,,,inei_population_1995_2030
inei_population_1995_2030,v1.0.0,20260416_020030,catalogo_artefactos,table_name,table_name,table_name,character,,FALSE,FALSE,0,0,,,population_national_from_dept|population_result_hierarchical|population_result|population_modeled_internal_0_125|population_tail_contract_bridge_80_109_110plus
inei_population_1995_2030,v1.0.0,20260416_020030,catalogo_artefactos,version,version,version,character,,FALSE,FALSE,0,0,,,v1.0.0
inei_population_1995_2030,v1.0.0,20260416_020030,catalogo_artefactos,run_id,run_id,run_id,character,,FALSE,FALSE,0,0,,,20260416_015959|20260416_020003|20260416_020008|20260416_020017|20260416_020030
inei_population_1995_2030,v1.0.0,20260416_020030,catalogo_artefactos,artifact_type,artifact_type,artifact_type,character,,FALSE,FALSE,0,0,,,derived_dataset|dictionary_ext|final_dataset|qc|spec
inei_population_1995_2030,v1.0.0,20260416_020030,catalogo_artefactos,artifact_path,artifact_path,artifact_path,character,,FALSE,FALSE,0,0,,,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/demografia-poblacion-inei/data/derived/staging/inei_population/population_national_from_dept.parquet|C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/demografia-poblacion-inei/data/derived/staging/inei_population/population_national_from_dept_diccionario_ext.csv|C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/demografia-poblacion-inei/data/final/population_inei/population_result_hierarchical.parquet|C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/demografia-poblacion-inei/data/final/population_inei/population_result_hierarchical_diccionario_ext.csv|C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/demografia-poblacion-inei/data/final/population_inei/population_result.parquet
inei_population_1995_2030,v1.0.0,20260416_020030,catalogo_artefactos,file_ext,file_ext,file_ext,character,,FALSE,FALSE,0,0,,,parquet|csv|yml
inei_population_1995_2030,v1.0.0,20260416_020030,catalogo_artefactos,n_rows,n_rows,n_rows,integer,,TRUE,FALSE,24,36.3636,2,235872,7992|5|207792|235872|58032
inei_population_1995_2030,v1.0.0,20260416_020030,catalogo_artefactos,n_cols,n_cols,n_cols,integer,,TRUE,FALSE,24,36.3636,5,23,5|11|15|14|23
inei_population_1995_2030,v1.0.0,20260416_020030,catalogo_artefactos,file_hash,file_hash,file_hash,character,,FALSE,FALSE,0,0,,,a9f9d780b68d2b724741434bd10b0899|0a995b234b2885a7a09b9364ae48a9c3|d7f7fe04fe2046471e568f9eb90906d6|e8796f2c8c970b4fa8b50959c1187ae0|a16f97f3e1bb2dc1f7a2a8a588369fbd
inei_population_1995_2030,v1.0.0,20260416_020030,catalogo_artefactos,created_at,created_at,created_at,datetime,,FALSE,FALSE,0,0,,,2026-04-16 01:59:59|2026-04-16 02:00:03|2026-04-16 02:00:04|2026-04-16 02:00:11|2026-04-16 02:00:12
inei_population_1995_2030,v1.0.0,20260416_020030,catalogo_artefactos,notes,notes,notes,character,,FALSE,FALSE,0,0,,,Nacional alternativo aditivo construido como suma de departamentos (01-25) con age=110 como 110+.|Diccionario extendido del nacional alternativo aditivo.|Vista final jerarquicamente consistente: deptos + nacional aditivo; age=110 representa 110+.|Diccionario extendido de la vista jerarquica consistente.|Dataset contractual: edades 0-109 simples y age=110 como grupo abierto 110+.
