table_path,dictionary_path,table_exists,dictionary_exists,table_n_cols,dictionary_n_rows,missing_in_dictionary,extra_in_dictionary,status
data/derived/staging/inei_population/download_log.csv,data/derived/staging/inei_population/download_log_diccionario_ext.csv,TRUE,TRUE,6,6,"","",OK
data/derived/staging/inei_population/parse_log.csv,data/derived/staging/inei_population/parse_log_diccionario_ext.csv,TRUE,TRUE,6,6,"","",OK
data/derived/staging/inei_population/raw_long.parquet,data/derived/staging/inei_population/raw_long_diccionario_ext.csv,TRUE,TRUE,12,12,"","",OK
data/derived/staging/inei_population/omop_like_long.parquet,data/derived/staging/inei_population/omop_like_long_diccionario_ext.csv,TRUE,TRUE,19,19,"","",OK
data/derived/staging/inei_population/population_modeled_internal_0_125.parquet,data/derived/staging/inei_population/population_modeled_internal_0_125_diccionario_ext.csv,TRUE,TRUE,5,5,"","",OK
data/derived/staging/inei_population/population_crossrepo_110plus_adjustment.parquet,data/derived/staging/inei_population/population_crossrepo_110plus_adjustment_diccionario_ext.csv,TRUE,TRUE,14,14,"","",OK
data/derived/staging/inei_population/population_tail_external_benchmark_peru_80_125.parquet,data/derived/staging/inei_population/population_tail_external_benchmark_peru_80_125_diccionario_ext.csv,TRUE,TRUE,15,15,"","",OK
data/derived/staging/inei_population/population_tail_contract_bridge_80_109_110plus.parquet,data/derived/staging/inei_population/population_tail_contract_bridge_80_109_110plus_diccionario_ext.csv,TRUE,TRUE,5,5,"","",OK
data/derived/staging/inei_population/population_national_from_dept.parquet,data/derived/staging/inei_population/population_national_from_dept_diccionario_ext.csv,TRUE,TRUE,5,5,"","",OK
data/final/population_inei/population_result.parquet,data/final/population_inei/population_result_diccionario_ext.csv,TRUE,TRUE,5,5,"","",OK
data/final/population_inei/population_result_hierarchical.parquet,data/final/population_inei/population_result_hierarchical_diccionario_ext.csv,TRUE,TRUE,5,5,"","",OK
data/derived/qc/inei_population/qc_summary.csv,data/derived/qc/inei_population/qc_summary_diccionario_ext.csv,TRUE,TRUE,25,25,"","",OK
data/derived/qc/inei_population/qc_duplicates.csv,data/derived/qc/inei_population/qc_duplicates_diccionario_ext.csv,TRUE,TRUE,5,5,"","",OK
data/derived/qc/inei_population/qc_missing_required.csv,data/derived/qc/inei_population/qc_missing_required_diccionario_ext.csv,TRUE,TRUE,3,3,"","",OK
data/derived/qc/inei_population/qc_negative_population.csv,data/derived/qc/inei_population/qc_negative_population_diccionario_ext.csv,TRUE,TRUE,5,5,"","",OK
data/derived/qc/inei_population/qc_tail_monotone_flags.csv,data/derived/qc/inei_population/qc_tail_monotone_flags_diccionario_ext.csv,TRUE,TRUE,4,4,"","",OK
data/derived/qc/inei_population/qc_tail_mass_80plus_exact.csv,data/derived/qc/inei_population/qc_tail_mass_80plus_exact_diccionario_ext.csv,TRUE,TRUE,7,7,"","",OK
data/derived/qc/inei_population/qc_tail_cap_125_national.csv,data/derived/qc/inei_population/qc_tail_cap_125_national_diccionario_ext.csv,TRUE,TRUE,6,6,"","",OK
data/derived/qc/inei_population/qc_crossrepo_110plus_coherence.csv,data/derived/qc/inei_population/qc_crossrepo_110plus_coherence_diccionario_ext.csv,TRUE,TRUE,13,13,"","",OK
data/derived/qc/inei_population/qc_crossrepo_mass_adjustment.csv,data/derived/qc/inei_population/qc_crossrepo_mass_adjustment_diccionario_ext.csv,TRUE,TRUE,7,7,"","",OK
data/derived/qc/inei_population/qc_tail_external_alignment_national.csv,data/derived/qc/inei_population/qc_tail_external_alignment_national_diccionario_ext.csv,TRUE,TRUE,15,15,"","",OK
data/derived/qc/inei_population/qc_tail_share_110plus.csv,data/derived/qc/inei_population/qc_tail_share_110plus_diccionario_ext.csv,TRUE,TRUE,13,13,"","",OK
data/derived/qc/inei_population/qc_tail_visual_priority.csv,data/derived/qc/inei_population/qc_tail_visual_priority_diccionario_ext.csv,TRUE,TRUE,15,15,"","",OK
data/derived/qc/inei_population/qc_tail_benchmark_source_by_stratum.csv,data/derived/qc/inei_population/qc_tail_benchmark_source_by_stratum_diccionario_ext.csv,TRUE,TRUE,9,9,"","",OK
data/derived/qc/inei_population/qc_tail_open_interval_exclusion.csv,data/derived/qc/inei_population/qc_tail_open_interval_exclusion_diccionario_ext.csv,TRUE,TRUE,10,10,"","",OK
data/derived/qc/inei_population/qc_110plus_collapse_exact.csv,data/derived/qc/inei_population/qc_110plus_collapse_exact_diccionario_ext.csv,TRUE,TRUE,9,9,"","",OK
data/derived/qc/inei_population/qc_national_vs_dept_sum.csv,data/derived/qc/inei_population/qc_national_vs_dept_sum_diccionario_ext.csv,TRUE,TRUE,9,9,"","",OK
data/derived/qc/inei_population/hierarchical/qc_hierarchical_summary.csv,data/derived/qc/inei_population/hierarchical/qc_hierarchical_summary_diccionario_ext.csv,TRUE,TRUE,9,9,"","",OK
data/derived/qc/inei_population/hierarchical/qc_hierarchical_missing_required.csv,data/derived/qc/inei_population/hierarchical/qc_hierarchical_missing_required_diccionario_ext.csv,TRUE,TRUE,2,2,"","",OK
data/derived/qc/inei_population/hierarchical/qc_hierarchical_duplicates.csv,data/derived/qc/inei_population/hierarchical/qc_hierarchical_duplicates_diccionario_ext.csv,TRUE,TRUE,5,5,"","",OK
data/derived/qc/inei_population/hierarchical/qc_hierarchical_negative_population.csv,data/derived/qc/inei_population/hierarchical/qc_hierarchical_negative_population_diccionario_ext.csv,TRUE,TRUE,5,5,"","",OK
data/derived/qc/inei_population/hierarchical/qc_hierarchical_national_additive_check.csv,data/derived/qc/inei_population/hierarchical/qc_hierarchical_national_additive_check_diccionario_ext.csv,TRUE,TRUE,8,8,"","",OK
data/derived/qc/inei_population/dictionary_generation_summary.csv,data/derived/qc/inei_population/dictionary_generation_summary_diccionario_ext.csv,TRUE,TRUE,3,3,"","",OK
data/_catalog/catalogo_artefactos.csv,data/_catalog/catalogo_artefactos_diccionario_ext.csv,TRUE,TRUE,12,12,"","",OK
