year_id,sex_id,location_id,pop_internal_80plus,pop_observed_80plus,diff,flag_diff
1995,8507,0,61776,61776,0,FALSE
1995,8507,1,631,631,0,FALSE
1995,8507,2,3393,3393,-4.54747350886464e-13,FALSE
1995,8507,3,1336,1336,0,FALSE
1995,8507,4,3427,3427,0,FALSE
1995,8507,5,1840,1840,0,FALSE
1995,8507,6,3362,3362,0,FALSE
1995,8507,7,1920,1920,0,FALSE
1995,8507,8,3360,3360,0,FALSE
1995,8507,9,1275,1275,0,FALSE
1995,8507,10,1020,1020,0,FALSE
1995,8507,11,1575,1575,0,FALSE
1995,8507,12,3090,3090,0,FALSE
1995,8507,13,3321,3321,0,FALSE
1995,8507,14,2728,2728,0,FALSE
1995,8507,15,17278,17278,0,FALSE
1995,8507,16,925,925,0,FALSE
1995,8507,17,75,75,0,FALSE
1995,8507,18,450,450,-5.6843418860808e-14,FALSE
1995,8507,19,462,462,0,FALSE
1995,8507,20,3960,3960,0,FALSE
1995,8507,21,4162,4162,0,FALSE
1995,8507,22,830,830,0,FALSE
1995,8507,23,446,446,0,FALSE
1995,8507,24,369,369,0,FALSE
1995,8507,25,541,541,0,FALSE
1995,8532,0,90860,90860,0,FALSE
1995,8532,1,835,835,0,FALSE
1995,8532,2,4807,4807,0,FALSE
1995,8532,3,1858,1858,0,FALSE
1995,8532,4,4783,4783,0,FALSE
1995,8532,5,3067,3067,0,FALSE
1995,8532,6,4507,4507,0,FALSE
1995,8532,7,2731,2731,0,FALSE
1995,8532,8,4268,4268,0,FALSE
1995,8532,9,1949,1949,0,FALSE
1995,8532,10,1515,1515,0,FALSE
1995,8532,11,2083,2083,0,FALSE
1995,8532,12,4385,4385,0,FALSE
1995,8532,13,5216,5216,0,FALSE
1995,8532,14,3401,3401,0,FALSE
1995,8532,15,29239,29239,0,FALSE
1995,8532,16,1332,1332,0,FALSE
1995,8532,17,62,62,0,FALSE
1995,8532,18,573,573,0,FALSE
1995,8532,19,737,737,0,FALSE
1995,8532,20,4786,4786,0,FALSE
1995,8532,21,5812,5812,0,FALSE
1995,8532,22,1271,1271,0,FALSE
1995,8532,23,643,643,0,FALSE
